skills,education,years_experience,past_job_titles,certifications,required_skills,job_title,job_level,industry,skill_match_score,hired,performance_score
"Computer Vision, R",Master's,8.8,Cloud Architect,Google Cloud,"Excel, DevOps, Docker, Project Management",Project Manager,Director,Energy,0.0,0,0.0
"SQL, Deep Learning, R, Project Management",Master's,6.3,"Full Stack Developer, Project Manager, Business Analyst",Google Cloud,"JavaScript, DevOps",Product Manager,Manager,Energy,0.0,0,0.0
"Deep Learning, Statistics, NLP, Data Analysis",Master's,12.7,QA Engineer,Microsoft Certified,Docker,Cloud Architect,Director,Consulting,0.0,1,4.1
"Kubernetes, DevOps, Deep Learning, GCP, Data Analysis",High School,12.0,"QA Engineer, Machine Learning Engineer",None,"Project Management, Docker",Frontend Developer,Manager,Consulting,0.0,0,0.0
"C++, NLP",Associate's,7.6,Full Stack Developer,Cisco Certified,"Deep Learning, Power BI",Business Analyst,Manager,Retail,0.0,0,0.0
"Python, Deep Learning, Project Management, R, Data Analysis",Master's,6.2,"Frontend Developer, UX Designer, Project Manager",Scrum Master,"R, Machine Learning",Full Stack Developer,Lead,Transportation,0.5,1,5.8
Power BI,PhD,7.1,"QA Engineer, Software Engineer",None,"Project Management, R",Full Stack Developer,Director,Healthcare,0.0,1,5.9
"Python, Machine Learning, R, AWS",Master's,4.8,"QA Engineer, Product Manager, Machine Learning Engineer",AWS Certified,Cloud Computing,DevOps Engineer,Mid,Retail,0.0,0,0.0
"Tableau, Deep Learning, DevOps, JavaScript, Java",Bachelor's,10.2,"Backend Developer, UX Designer, Full Stack Developer",None,"NLP, C++",Machine Learning Engineer,Senior,Transportation,0.0,1,7.7
"AWS, GCP, C++, Tableau",PhD,13.4,"UX Designer, Data Engineer",Microsoft Certified,Computer Vision,Data Engineer,Senior,Energy,0.0,1,6.3
"Azure, JavaScript, Machine Learning, Docker",Master's,3.8,Cloud Architect,PMP,"R, Azure, Docker",Machine Learning Engineer,Junior,Energy,0.6666666666666666,1,6.5
"Python, Statistics, Deep Learning, Kubernetes, Java",Bachelor's,12.4,"Data Engineer, Business Analyst, Backend Developer",AWS Certified,"Excel, Java",UX Designer,Director,Energy,0.5,1,7.5
"Power BI, Data Analysis, Kubernetes, Deep Learning",High School,5.4,DevOps Engineer,CompTIA,Python,Software Engineer,Lead,Energy,0.0,1,5.6
"Tableau, NLP",Bachelor's,2.0,Software Engineer,CISSP,"NLP, Cloud Computing, Computer Vision, R",Business Analyst,Manager,Consulting,0.25,0,0.0
"Docker, Deep Learning, Computer Vision, Power BI",Associate's,0.6,Business Analyst,CompTIA,"Machine Learning, Cloud Computing, Power BI, C++",Business Analyst,Lead,Energy,0.25,0,0.0
"Machine Learning, Azure, DevOps",Associate's,7.2,Full Stack Developer,Cisco Certified,"C++, R, Data Analysis, NLP",QA Engineer,Mid,Tech,0.0,1,6.5
"Excel, R, JavaScript, GCP",High School,8.5,Business Analyst,Google Cloud,"Project Management, AWS, Java",Software Engineer,Mid,Finance,0.0,0,0.0
"Cloud Computing, Statistics, C++",High School,0.1,Software Engineer,CISSP,"Deep Learning, SQL",Machine Learning Engineer,Senior,Tech,0.0,0,0.0
"Java, Computer Vision, Power BI",High School,9.8,"Frontend Developer, UX Designer, Data Scientist",CISSP,Python,Data Engineer,Manager,Healthcare,0.0,0,0.0
"R, Python, Computer Vision, Tableau",Bachelor's,7.8,"Data Engineer, Machine Learning Engineer",Cisco Certified,"Java, Data Analysis, Kubernetes, R",DevOps Engineer,Manager,Energy,0.25,1,4.1
Java,Bachelor's,15.0,"Software Engineer, Data Scientist, Data Engineer",CompTIA,"Machine Learning, GCP, Excel, Power BI",UX Designer,Lead,Consulting,0.0,0,0.0
"DevOps, Machine Learning",High School,1.6,"Data Engineer, Full Stack Developer",CompTIA,"Excel, Statistics, Python, AWS",Full Stack Developer,Junior,Healthcare,0.0,0,0.0
"AWS, Deep Learning, Docker, R, Tableau",Bachelor's,10.6,"Product Manager, Business Analyst, Machine Learning Engineer",Cisco Certified,"Statistics, NLP",UX Designer,Senior,Retail,0.0,0,0.0
"Deep Learning, Java, NLP, Power BI",Associate's,3.3,"Machine Learning Engineer, Project Manager",AWS Certified,"Machine Learning, GCP, Docker",Project Manager,Manager,Retail,0.0,0,0.0
"SQL, AWS",Master's,3.1,Business Analyst,AWS Certified,"Kubernetes, SQL, Data Analysis, Power BI",Project Manager,Senior,Healthcare,0.25,1,4.6
"Docker, Azure, R, Project Management, Cloud Computing",PhD,0.3,Data Engineer,AWS Certified,Computer Vision,Project Manager,Senior,Healthcare,0.0,0,0.0
"Machine Learning, GCP",High School,0.1,"Full Stack Developer, Backend Developer",Scrum Master,"JavaScript, Power BI",Machine Learning Engineer,Mid,Manufacturing,0.0,0,0.0
"AWS, Python, Java, DevOps",Associate's,2.8,"Full Stack Developer, DevOps Engineer, Software Engineer",Scrum Master,"Excel, R, JavaScript, Statistics",Backend Developer,Mid,Education,0.0,0,0.0
"GCP, Statistics, Computer Vision, Data Analysis, Kubernetes",Bachelor's,2.6,"Full Stack Developer, UX Designer, QA Engineer",AWS Certified,"DevOps, AWS",Backend Developer,Junior,Education,0.0,0,0.0
"Python, Deep Learning, Power BI",PhD,0.0,"Software Engineer, Cloud Architect, Business Analyst",Google Cloud,"Project Management, GCP",Project Manager,Manager,Manufacturing,0.0,0,0.0
"NLP, Excel, Java",High School,10.8,Project Manager,CompTIA,C++,Data Scientist,Manager,Retail,0.0,1,5.7
"Cloud Computing, C++",Bachelor's,7.6,"Business Analyst, Data Engineer, Cloud Architect",PMP,"Kubernetes, Azure, AWS, DevOps",Project Manager,Manager,Consulting,0.0,0,0.0
"R, JavaScript",Bachelor's,5.9,Product Manager,Cisco Certified,"Computer Vision, Excel",UX Designer,Director,Government,0.0,1,5.8
"Project Management, Docker",PhD,1.6,"Backend Developer, Product Manager",Scrum Master,C++,QA Engineer,Mid,Finance,0.0,0,0.0
"Project Management, Cloud Computing, Deep Learning",Bachelor's,5.0,"Software Engineer, Product Manager",PMP,"Cloud Computing, Kubernetes, Excel",Business Analyst,Manager,Tech,0.3333333333333333,0,0.0
"Statistics, Deep Learning",PhD,7.1,"QA Engineer, Data Scientist",Microsoft Certified,AWS,Data Scientist,Junior,Government,0.0,0,0.0
"Deep Learning, Java",Associate's,15.0,"Full Stack Developer, QA Engineer, UX Designer",Google Cloud,"DevOps, Kubernetes, GCP, Tableau",Backend Developer,Director,Government,0.0,0,0.0
Project Management,High School,7.7,"Product Manager, Cloud Architect",CompTIA,SQL,Business Analyst,Mid,Retail,0.0,0,0.0
"JavaScript, Cloud Computing, Java, C++, Power BI",Bachelor's,0.3,DevOps Engineer,Cisco Certified,"NLP, Machine Learning",Frontend Developer,Lead,Transportation,0.0,0,0.0
Java,Master's,3.1,"QA Engineer, Machine Learning Engineer",Cisco Certified,"Machine Learning, SQL, NLP",DevOps Engineer,Junior,Manufacturing,0.0,0,0.0
"GCP, Computer Vision, Data Analysis, Excel",PhD,5.3,"Full Stack Developer, Backend Developer",AWS Certified,"JavaScript, Kubernetes, Deep Learning",Backend Developer,Junior,Retail,0.0,1,6.2
"Data Analysis, Java, C++, Tableau",Associate's,6.8,"Full Stack Developer, Data Engineer, DevOps Engineer",Microsoft Certified,"Project Management, Java, Tableau",Product Manager,Junior,Government,0.6666666666666666,1,6.2
"Machine Learning, Power BI, JavaScript, Java, Azure",Master's,10.1,"Product Manager, Data Engineer, DevOps Engineer",Microsoft Certified,"GCP, Machine Learning, Docker",Business Analyst,Junior,Consulting,0.3333333333333333,1,4.5
"Deep Learning, JavaScript, DevOps, SQL, R",High School,8.9,"Project Manager, Software Engineer",Google Cloud,Machine Learning,Product Manager,Junior,Energy,0.0,1,7.5
"R, JavaScript, Project Management, Tableau, DevOps",Associate's,7.6,"Frontend Developer, Business Analyst, Data Engineer",Google Cloud,"Power BI, R, Computer Vision, Excel",Full Stack Developer,Mid,Transportation,0.25,0,0.0
Data Analysis,PhD,12.6,Machine Learning Engineer,PMP,SQL,Product Manager,Senior,Healthcare,0.0,1,7.6
"Azure, Machine Learning, Computer Vision",Associate's,2.9,"Software Engineer, Full Stack Developer, UX Designer",Microsoft Certified,Java,Product Manager,Junior,Manufacturing,0.0,0,0.0
"Kubernetes, Docker, Data Analysis",Associate's,1.2,Product Manager,None,"GCP, Kubernetes, SQL",Data Engineer,Senior,Transportation,0.3333333333333333,0,0.0
"Excel, Cloud Computing",Associate's,12.6,"Machine Learning Engineer, Cloud Architect, Frontend Developer",PMP,JavaScript,Machine Learning Engineer,Director,Government,0.0,0,0.0
"Deep Learning, Cloud Computing, Python, C++",High School,6.9,Data Engineer,AWS Certified,"AWS, Azure, Computer Vision, Python",Frontend Developer,Mid,Manufacturing,0.25,0,0.0
"AWS, Deep Learning",Master's,8.3,"Backend Developer, Data Scientist, DevOps Engineer",Scrum Master,Cloud Computing,Project Manager,Director,Healthcare,0.0,1,3.8
"Computer Vision, JavaScript, Statistics, Cloud Computing, R",Associate's,12.6,"DevOps Engineer, Machine Learning Engineer, Software Engineer",Cisco Certified,"Computer Vision, Azure",QA Engineer,Manager,Finance,0.5,1,6.4
"Tableau, Power BI",Bachelor's,14.2,"Software Engineer, Project Manager, Frontend Developer",None,"AWS, R",Business Analyst,Junior,Tech,0.0,0,0.0
"Project Management, AWS, Excel",Associate's,8.3,"Frontend Developer, Data Engineer",Cisco Certified,Tableau,Cloud Architect,Junior,Government,0.0,0,0.0
"Tableau, DevOps",Associate's,12.2,Project Manager,Scrum Master,"SQL, Java, Tableau, JavaScript",QA Engineer,Manager,Finance,0.25,1,7.0
DevOps,High School,8.2,"UX Designer, Full Stack Developer",Google Cloud,"Project Management, Docker, Machine Learning",Software Engineer,Manager,Energy,0.0,0,0.0
"Power BI, Java, Azure",High School,0.5,UX Designer,Scrum Master,"Machine Learning, Computer Vision",Software Engineer,Lead,Energy,0.0,0,0.0
Computer Vision,High School,14.3,"Product Manager, Project Manager",Microsoft Certified,"Data Analysis, GCP",Frontend Developer,Junior,Energy,0.0,0,0.0
